year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2012,6,1,17.3,12.2,24.9,,6.0,
2012,6,2,17.7,13.3,26.0,6.5,4.8,
2012,6,3,19.3,14.1,27.0,,6.2,
2012,6,4,20.3,14.3,27.8,,7.8,
2012,6,5,21.5,15.0,27.9,,6.6,
2012,6,6,21.4,15.4,27.9,,8.6,
2012,6,7,21.8,14.7,29.6,,7.6,
2012,6,8,19.3,16.0,26.7,1.0,2.0,
2012,6,9,20.5,15.1,28.2,0.1,8.8,
2012,6,10,19.4,15.5,27.7,12.5,4.6,
2012,6,11,20.6,16.8,26.9,0.1,2.0,
2012,6,12,19.1,16.0,23.6,0.4,2.9,
2012,6,13,19.0,15.4,25.7,,8.0,
2012,6,14,19.0,15.0,26.7,,7.2,
2012,6,15,19.0,16.2,21.9,0.4,0.0,
2012,6,16,21.4,16.4,28.2,0.4,6.0,
2012,6,17,22.3,16.4,28.8,,11.2,
2012,6,18,22.1,15.8,29.3,,7.2,
2012,6,19,21.7,17.8,27.2,,7.3,
2012,6,20,21.9,14.7,29.5,,7.8,
2012,6,21,22.2,17.3,30.4,,8.0,
2012,6,22,22.2,16.6,29.0,,2.6,
2012,6,23,22.5,17.8,31.9,0.4,5.7,
2012,6,24,20.8,16.3,25.4,,0.8,
2012,6,25,18.5,13.6,22.8,,1.8,
2012,6,26,18.4,17.2,20.7,,0.2,
2012,6,27,18.2,16.7,20.2,,0.0,
2012,6,28,21.3,15.7,27.5,,2.8,
2012,6,29,24.1,17.1,31.8,,6.3,
2012,6,30,21.9,20.0,25.2,24.5,0.0,
