year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1997,3,1,4.2,0.7,9.7,,9.6,
1997,3,2,2.3,-1.2,7.7,,7.4,
1997,3,3,1.4,-3.8,6.6,,10.4,
1997,3,4,5.2,-1.4,12.5,,8.4,
1997,3,5,7.2,-0.7,16.9,,8.9,
1997,3,6,9.2,2.8,12.8,16.0,0.0,
1997,3,7,6.9,1.8,12.6,,8.2,
1997,3,8,7.4,-0.7,16.3,,9.6,
1997,3,9,9.9,0.9,18.4,0.0,7.4,
1997,3,10,10.2,8.0,12.8,16.0,0.0,
1997,3,11,8.5,4.3,15.3,,9.5,
1997,3,12,9.3,4.1,15.0,,5.7,
1997,3,13,12.2,6.9,21.2,,4.9,
1997,3,14,9.0,6.4,11.4,9.0,0.0,
1997,3,15,7.0,5.7,8.8,10.0,0.0,
1997,3,16,6.5,4.0,9.2,2.0,0.0,
1997,3,17,6.9,3.0,11.8,,2.8,
1997,3,18,5.8,1.4,12.6,,8.7,
1997,3,19,6.5,1.4,14.3,,8.3,
1997,3,20,8.4,3.2,16.0,,3.3,
1997,3,21,7.9,3.0,14.5,,5.3,
1997,3,22,6.9,1.9,15.1,,9.2,
1997,3,23,3.7,-0.3,6.9,,9.6,
1997,3,24,4.2,-1.4,11.9,,10.6,
1997,3,25,6.2,-1.4,14.9,,8.8,
1997,3,26,7.2,2.8,13.8,,7.7,
1997,3,27,8.0,1.2,17.2,,10.1,
1997,3,28,10.4,2.4,20.4,,8.4,
1997,3,29,10.6,4.0,19.1,0.0,4.5,
1997,3,30,3.3,-0.5,7.4,,10.9,
1997,3,31,4.5,-2.6,12.3,,10.7,
