year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1980,5,1,14.3,9.8,19.6,,10.6,
1980,5,2,15.6,8.8,21.4,,12.2,
1980,5,3,17.6,14.0,21.0,,0.7,
1980,5,4,17.4,15.8,20.7,0.8,3.0,
1980,5,5,18.3,13.9,23.8,,8.7,
1980,5,6,14.1,11.0,17.3,,9.8,
1980,5,7,15.5,11.4,20.9,,3.8,
1980,5,8,13.1,11.2,14.9,24.6,0.0,
1980,5,9,14.1,10.6,16.9,,7.8,
1980,5,10,17.6,10.4,23.2,,11.9,
1980,5,11,17.1,11.2,20.9,0.0,8.7,
1980,5,12,19.7,15.9,23.2,29.2,0.0,
1980,5,13,17.6,14.6,22.4,,2.6,
1980,5,14,20.3,12.4,28.9,13.2,6.3,
1980,5,15,17.3,14.3,22.8,4.8,4.4,
1980,5,16,14.2,10.6,16.6,,6.4,
1980,5,17,13.5,7.4,17.6,,12.1,
1980,5,18,15.0,8.4,19.4,,10.3,
1980,5,19,17.1,11.6,22.7,25.1,3.3,
1980,5,20,14.8,13.3,15.9,41.3,0.0,
1980,5,21,16.7,14.3,19.6,,12.3,
1980,5,22,16.6,12.4,19.9,,12.2,
1980,5,23,17.3,14.5,21.0,,1.9,
1980,5,24,19.8,14.4,25.8,27.4,6.7,
1980,5,25,25.3,19.9,28.8,0.4,1.9,
1980,5,26,15.1,13.3,20.8,0.0,2.4,
1980,5,27,18.2,10.8,23.8,,13.1,
1980,5,28,16.8,11.8,20.8,,12.8,
1980,5,29,18.6,14.3,23.8,,8.3,
1980,5,30,20.2,17.1,23.6,,11.1,
1980,5,31,20.0,16.6,23.4,,10.1,
