year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2016,11,1,8.4,7.1,10.5,,2.7,
2016,11,2,6.9,4.1,12.3,,9.2,
2016,11,3,8.8,4.1,15.4,,8.0,
2016,11,4,10.3,3.3,17.7,,8.2,
2016,11,5,13.8,7.5,20.3,,6.8,
2016,11,6,13.9,7.0,20.1,,7.2,
2016,11,7,16.2,14.1,18.9,,7.0,
2016,11,8,9.9,8.3,15.1,5.0,3.7,
2016,11,9,6.5,3.3,9.8,,8.8,
2016,11,10,8.0,4.7,11.5,13.0,0.0,
2016,11,11,10.4,4.4,15.9,,8.3,
2016,11,12,12.3,4.2,18.8,,6.6,
2016,11,13,15.5,9.3,19.9,9.5,0.4,
2016,11,14,16.8,15.0,19.3,8.5,1.4,
2016,11,15,11.1,8.1,15.1,,9.0,
2016,11,16,8.5,3.9,15.7,,9.1,
2016,11,17,11.5,4.3,18.4,,5.6,
2016,11,18,13.4,5.1,17.2,28.0,0.3,
2016,11,19,16.1,15.3,16.8,,0.0,
2016,11,20,12.3,7.7,15.4,,6.5,
2016,11,21,14.4,7.8,19.8,0.5,1.2,
2016,11,22,8.4,5.9,13.4,,0.7,
2016,11,23,5.6,3.6,7.3,,7.0,
2016,11,24,4.5,1.8,6.1,,5.9,
2016,11,25,4.6,-0.2,9.5,,6.2,
2016,11,26,4.5,-0.8,6.8,10.5,0.0,
2016,11,27,8.2,3.9,11.7,,5.5,
2016,11,28,7.7,6.4,9.9,,4.4,
2016,11,29,6.2,1.6,9.8,,8.2,
2016,11,30,6.8,1.6,13.3,4.0,0.3,
