year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,1,1,0.9,-5.7,9.7,,5.8,
2004,1,2,2.1,-3.2,10.8,,7.1,
2004,1,3,0.9,-6.4,10.8,,8.1,
2004,1,4,0.5,-6.4,10.6,,8.7,
2004,1,5,-1.1,-6.9,9.0,,3.1,
2004,1,6,2.0,-6.2,10.3,,4.6,
2004,1,7,2.8,-4.4,11.1,,8.1,
2004,1,8,0.5,-6.3,8.9,,8.5,
2004,1,9,0.5,-5.5,9.4,0.0,3.2,
2004,1,10,2.3,-4.2,8.9,,3.2,
2004,1,11,1.5,-3.7,9.2,,4.5,
2004,1,12,1.2,-6.0,8.8,,5.5,
2004,1,13,-1.3,-5.6,2.3,,9.1,
2004,1,14,-1.2,-9.3,6.4,,9.4,
2004,1,15,-0.2,-7.1,7.5,,8.0,
2004,1,16,2.5,-3.9,7.6,0.1,0.0,
2004,1,17,4.5,1.6,7.8,0.0,0.5,
2004,1,18,3.3,-0.2,8.4,0.0,0.8,
2004,1,19,0.5,-4.0,5.5,,8.9,
2004,1,20,-0.9,-6.2,5.1,,9.5,
2004,1,21,-5.8,-10.5,-1.4,,8.0,
2004,1,22,-7.4,-13.1,-2.1,,9.4,
2004,1,23,-4.6,-13.3,4.1,,9.3,
2004,1,24,-3.6,-10.0,3.4,,9.3,
2004,1,25,-2.6,-8.7,2.4,,9.2,
2004,1,26,-1.4,-11.0,5.5,,8.9,
2004,1,27,-1.1,-6.4,4.4,,9.3,
2004,1,28,-2.0,-10.7,9.9,,9.6,
2004,1,29,-0.7,-9.5,9.8,,9.7,
2004,1,30,0.1,-8.7,10.4,,8.5,
2004,1,31,0.6,-8.7,12.6,,9.2,
