year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2014,3,1,5.6,1.5,9.4,,0.6,
2014,3,2,3.5,-1.2,10.3,,9.6,
2014,3,3,4.0,-4.3,12.6,,10.3,
2014,3,4,4.6,-2.6,11.4,,4.5,
2014,3,5,2.3,-0.3,6.1,,10.8,
2014,3,6,1.3,-5.6,6.6,,8.3,
2014,3,7,-0.3,-6.9,5.6,,10.5,
2014,3,8,1.6,-4.2,7.8,,9.0,
2014,3,9,1.9,-1.3,5.0,5.8,7.6,0.6
2014,3,10,1.5,-5.6,7.9,,11.1,
2014,3,11,3.7,-4.4,13.8,,10.2,
2014,3,12,4.2,-1.9,7.0,23.5,0.3,
2014,3,13,4.3,0.2,6.5,1.0,0.0,
2014,3,14,2.5,-1.8,9.1,,9.4,
2014,3,15,6.9,-1.8,14.7,,9.8,
2014,3,16,10.3,3.2,18.6,,9.3,
2014,3,17,14.2,5.2,21.3,0.0,8.0,
2014,3,18,11.1,5.9,16.0,,6.2,
2014,3,19,9.2,6.2,12.1,0.0,0.1,
2014,3,20,6.4,1.6,10.7,0.3,7.6,
2014,3,21,4.8,-0.3,10.3,,11.4,
2014,3,22,7.6,-1.2,16.9,,11.1,
2014,3,23,8.9,1.5,18.3,,9.7,
2014,3,24,10.4,-0.3,17.9,,8.5,
2014,3,25,15.1,12.2,19.5,1.0,0.0,
2014,3,26,14.1,8.6,20.2,3.0,5.5,
2014,3,27,11.3,3.6,21.5,,6.7,
2014,3,28,16.8,8.1,25.8,,8.9,
2014,3,29,14.4,11.5,16.3,0.3,0.1,
2014,3,30,14.1,9.5,19.2,6.0,10.2,
2014,3,31,12.0,4.6,20.1,,9.1,
