year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2020,10,1,15.7,10.1,24.8,,6.6,
2020,10,2,17.2,11.4,24.5,,7.2,
2020,10,3,18.0,14.7,24.0,0.5,4.5,
2020,10,4,17.7,15.1,22.5,,1.3,
2020,10,5,11.9,6.0,18.5,,10.7,
2020,10,6,11.0,4.3,20.1,,9.0,
2020,10,7,14.1,7.1,21.6,,5.6,
2020,10,8,16.0,12.0,20.1,,7.4,
2020,10,9,16.0,12.3,20.0,,2.3,
2020,10,10,14.4,8.9,21.2,,7.8,
2020,10,11,13.5,7.9,20.1,,1.5,
2020,10,12,13.5,9.1,22.3,,4.7,
2020,10,13,10.8,5.6,20.0,,7.0,
2020,10,14,9.5,2.9,18.4,,3.8,
2020,10,15,10.2,3.1,20.6,,7.7,
2020,10,16,10.4,6.7,16.5,,0.3,
2020,10,17,9.9,4.9,19.6,,7.6,
2020,10,18,9.0,3.7,20.4,,7.3,
2020,10,19,9.9,1.0,22.4,,8.6,
2020,10,20,10.6,5.2,22.6,,7.0,
2020,10,21,10.7,4.5,17.2,4.0,0.3,
2020,10,22,12.7,9.3,17.9,,3.6,
2020,10,23,7.9,1.5,15.1,,9.6,
2020,10,24,8.0,-0.9,14.7,,9.6,
2020,10,25,10.5,1.1,19.4,,9.0,
2020,10,26,8.6,0.6,20.6,,7.9,
2020,10,27,9.3,1.9,21.1,,8.1,
2020,10,28,10.9,4.0,20.3,,6.7,
2020,10,29,7.2,-0.2,17.9,,8.7,
2020,10,30,7.6,1.5,18.2,,5.9,
2020,10,31,8.1,1.8,17.7,,5.6,
