year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2023,6,1,23.5,19.5,27.4,,1.4,
2023,6,2,21.9,19.7,25.8,0.0,8.3,
2023,6,3,22.6,17.2,28.7,,11.3,
2023,6,4,23.2,17.2,29.4,,12.0,
2023,6,5,22.7,18.6,27.9,,8.5,
2023,6,6,21.8,17.6,28.1,,9.4,
2023,6,7,22.5,17.8,26.8,,3.3,
2023,6,8,23.1,19.2,27.3,0.0,5.4,
2023,6,9,24.8,20.0,29.9,0.0,10.3,
2023,6,10,24.6,20.7,31.4,0.0,6.7,
2023,6,11,23.9,18.7,29.8,0.0,6.0,
2023,6,12,23.9,19.5,29.9,,6.2,
2023,6,13,23.3,19.7,29.2,,7.5,
2023,6,14,23.2,18.5,28.7,0.4,6.8,
2023,6,15,23.4,18.6,28.8,,7.6,
2023,6,16,25.0,18.7,31.6,,12.5,
2023,6,17,25.7,20.2,33.0,,11.1,
2023,6,18,26.6,21.0,34.0,,10.6,
2023,6,19,28.4,21.7,34.3,,11.3,
2023,6,20,24.6,20.6,27.8,5.6,0.9,
2023,6,21,21.6,20.1,23.2,9.1,0.0,
2023,6,22,23.7,19.7,28.7,1.5,6.0,
2023,6,23,26.0,21.2,31.6,,8.3,
2023,6,24,27.4,23.1,32.4,,5.7,
2023,6,25,27.6,22.7,32.5,0.0,7.2,
2023,6,26,24.6,21.8,27.5,35.1,0.2,
2023,6,27,26.9,23.5,31.8,6.2,7.7,
2023,6,28,25.1,21.3,28.7,0.4,2.5,
2023,6,29,25.4,24.0,26.8,39.0,0.0,
2023,6,30,25.9,23.8,28.7,3.2,0.8,
