year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1983,12,1,1.3,-2.7,5.4,,8.7,
1983,12,2,6.9,2.2,11.2,,7.6,
1983,12,3,5.6,0.4,7.7,,7.6,
1983,12,4,2.0,-2.4,6.6,,8.7,
1983,12,5,6.5,0.4,10.9,,7.0,
1983,12,6,1.6,-3.4,8.2,,8.5,
1983,12,7,2.6,-1.8,7.0,,6.3,
1983,12,8,4.7,0.5,9.3,,8.8,
1983,12,9,5.2,-0.1,11.2,,6.8,
1983,12,10,5.1,-1.7,12.2,1.9,2.9,
1983,12,11,1.0,-1.3,5.0,0.2,2.4,0.5
1983,12,12,1.5,-3.4,6.6,,2.7,
1983,12,13,5.7,0.3,10.6,0.9,0.3,
1983,12,14,1.0,-3.1,5.6,,8.1,
1983,12,15,-1.4,-4.4,1.5,0.0,1.1,
1983,12,16,-3.1,-6.3,0.0,0.0,8.0,
1983,12,17,-5.1,-7.4,-2.4,0.7,6.4,1.5
1983,12,18,-3.6,-8.0,0.6,0.0,8.5,
1983,12,19,1.5,-1.3,4.6,0.0,7.7,
1983,12,20,-1.2,-7.4,7.4,,8.2,
1983,12,21,-1.4,-9.3,8.2,0.0,6.4,0.0
1983,12,22,-0.5,-4.0,2.8,1.5,1.0,2.1
1983,12,23,-6.8,-10.2,-3.9,0.0,8.4,0.0
1983,12,24,-8.4,-12.3,-4.1,0.7,0.3,2.0
1983,12,25,-8.5,-12.5,-4.7,,8.2,
1983,12,26,-5.9,-13.1,1.8,0.1,6.9,0.4
1983,12,27,-3.6,-6.5,-0.7,0.1,7.9,0.4
1983,12,28,-5.2,-7.7,-2.5,0.0,8.2,
1983,12,29,-6.5,-8.4,-3.1,0.0,5.9,
1983,12,30,-6.0,-9.3,-3.2,0.0,0.0,0.0
1983,12,31,-3.4,-7.1,0.6,0.1,8.2,0.2
