year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2007,9,1,19.6,18.1,21.0,12.5,0.0,
2007,9,2,20.2,18.2,22.7,2.5,0.0,
2007,9,3,21.6,18.2,26.5,2.5,1.9,
2007,9,4,21.1,18.8,24.8,0.1,0.3,
2007,9,5,19.6,18.1,22.2,3.0,0.0,
2007,9,6,17.8,16.7,19.5,19.5,0.0,
2007,9,7,20.5,16.6,24.5,,2.2,
2007,9,8,20.7,16.7,25.3,,6.0,
2007,9,9,19.8,13.1,27.1,,10.6,
2007,9,10,20.5,14.8,26.8,,3.5,
2007,9,11,21.2,17.2,27.2,,3.9,
2007,9,12,21.4,17.2,27.8,,5.2,
2007,9,13,21.7,18.3,26.6,,1.8,
2007,9,14,20.8,17.6,26.6,63.5,1.7,
2007,9,15,20.5,17.3,24.1,46.5,0.3,
2007,9,16,20.5,17.7,23.7,2.5,1.3,
2007,9,17,21.2,18.2,25.7,7.0,4.4,
2007,9,18,19.3,18.3,20.7,24.5,0.0,
2007,9,19,21.8,18.7,27.7,66.5,0.6,
2007,9,20,25.2,19.7,30.7,12.5,4.3,
2007,9,21,22.8,19.2,26.3,3.0,0.9,
2007,9,22,19.4,17.7,21.1,0.5,0.0,
2007,9,23,20.5,16.7,25.2,0.0,4.8,
2007,9,24,21.0,17.1,27.3,0.5,8.3,
2007,9,25,21.2,17.3,27.7,,7.6,
2007,9,26,20.5,17.2,24.8,,3.1,
2007,9,27,20.1,18.7,22.2,17.0,0.0,
2007,9,28,17.7,13.3,20.6,1.5,2.0,
2007,9,29,16.5,12.3,21.5,0.5,0.4,
2007,9,30,17.4,14.3,22.7,,3.6,
