year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2006,1,1,-2.1,-5.8,0.0,,0.3,
2006,1,2,-2.5,-6.0,1.2,,7.7,
2006,1,3,-5.2,-7.9,-0.6,,7.6,
2006,1,4,-7.5,-9.3,-5.0,,1.1,
2006,1,5,-8.0,-11.6,-1.8,0.0,7.4,
2006,1,6,-10.0,-12.8,-6.3,,4.2,
2006,1,7,-10.7,-16.2,-3.9,,7.6,
2006,1,8,-8.5,-15.8,1.3,,7.4,
2006,1,9,-6.8,-14.0,0.8,0.0,7.6,
2006,1,10,-3.4,-7.0,0.1,0.0,6.0,
2006,1,11,-6.1,-12.1,2.2,,7.4,
2006,1,12,-3.3,-11.6,4.4,1.0,5.5,1.5
2006,1,13,4.4,-0.1,8.6,12.5,0.0,
2006,1,14,-1.5,-6.0,2.2,0.8,0.0,1.0
2006,1,15,-1.4,-6.1,4.5,,3.9,
2006,1,16,-1.8,-4.5,1.2,,0.0,
2006,1,17,-2.6,-6.5,4.0,,5.7,
2006,1,18,-3.0,-6.4,-0.8,0.0,0.0,
2006,1,19,-3.2,-4.6,-2.0,0.3,0.7,0.5
2006,1,20,-1.5,-4.1,2.7,0.0,6.7,
2006,1,21,-4.0,-7.1,-0.5,,5.6,
2006,1,22,-5.5,-9.6,-1.5,,8.2,
2006,1,23,-6.7,-14.3,2.4,,8.3,
2006,1,24,-7.0,-12.5,1.1,,8.3,
2006,1,25,-3.6,-10.3,1.0,,7.1,
2006,1,26,-2.4,-8.6,3.9,,8.5,
2006,1,27,-2.6,-6.0,2.2,,8.2,
2006,1,28,-2.5,-8.0,4.1,,7.1,
2006,1,29,1.1,-6.6,7.5,0.0,7.4,
2006,1,30,2.2,-0.8,6.0,0.5,0.6,1.0
2006,1,31,-0.7,-1.8,0.4,13.8,0.0,13.3
