year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1998,9,1,24.4,21.1,28.3,,7.5,
1998,9,2,23.9,20.6,28.1,0.0,7.0,
1998,9,3,24.0,20.1,29.8,,9.0,
1998,9,4,24.5,20.0,29.2,,8.9,
1998,9,5,24.0,21.0,27.9,,2.6,
1998,9,6,25.0,20.8,30.0,,9.8,
1998,9,7,25.5,20.7,30.3,,10.5,
1998,9,8,25.6,21.2,30.2,,9.3,
1998,9,9,26.1,23.1,30.0,,3.1,
1998,9,10,25.8,23.2,31.1,,4.6,
1998,9,11,25.7,23.7,28.7,,1.0,
1998,9,12,25.0,21.9,28.9,,5.9,
1998,9,13,25.3,21.0,31.1,,10.1,
1998,9,14,24.6,20.4,30.4,,10.5,
1998,9,15,25.6,20.1,31.4,,9.2,
1998,9,16,23.1,20.6,28.1,,10.3,
1998,9,17,22.1,17.5,27.4,,10.1,
1998,9,18,22.7,17.9,27.8,,10.3,
1998,9,19,25.6,22.0,29.7,,6.6,
1998,9,20,25.6,23.7,28.8,0.8,0.8,
1998,9,21,24.7,22.0,27.2,7.0,0.0,
1998,9,22,22.2,19.4,26.3,0.1,3.2,
1998,9,23,21.6,17.3,26.9,,8.7,
1998,9,24,20.9,18.6,23.8,1.5,3.0,
1998,9,25,23.2,18.9,29.2,,9.5,
1998,9,26,21.7,19.8,23.4,0.2,0.1,
1998,9,27,21.4,19.4,23.8,0.4,0.0,
1998,9,28,21.2,19.0,22.3,2.6,0.0,
1998,9,29,19.7,18.8,21.6,60.7,0.0,
1998,9,30,23.1,20.4,25.4,150.9,0.0,
