year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2014,10,1,16.5,11.0,24.3,,7.6,
2014,10,2,16.5,13.6,19.0,29.2,0.0,
2014,10,3,15.2,9.3,21.4,,9.4,
2014,10,4,15.1,8.3,22.9,,10.3,
2014,10,5,15.3,9.6,22.1,,10.7,
2014,10,6,14.2,7.6,21.9,0.0,8.1,
2014,10,7,13.5,7.5,22.4,,10.7,
2014,10,8,13.2,5.7,23.3,,9.9,
2014,10,9,15.1,6.9,25.5,,10.5,
2014,10,10,16.4,8.1,26.1,,10.6,
2014,10,11,17.0,10.5,25.5,,10.6,
2014,10,12,18.2,10.9,29.0,,9.8,
2014,10,13,14.7,7.4,20.1,,9.1,
2014,10,14,10.7,3.7,19.4,,10.6,
2014,10,15,10.8,3.7,19.0,,10.4,
2014,10,16,12.3,4.5,18.0,0.7,8.8,
2014,10,17,10.0,0.7,20.3,,10.2,
2014,10,18,12.8,5.6,21.7,,9.6,
2014,10,19,14.3,7.8,21.7,,4.6,
2014,10,20,13.7,11.9,17.7,20.4,0.2,
2014,10,21,13.0,10.8,14.6,6.1,0.0,
2014,10,22,11.8,6.3,17.9,,9.7,
2014,10,23,10.9,3.8,19.5,,9.0,
2014,10,24,12.9,6.8,21.2,,5.2,
2014,10,25,13.8,8.0,20.8,,6.8,
2014,10,26,13.5,6.9,19.5,0.1,1.8,
2014,10,27,7.9,0.7,17.1,,10.0,
2014,10,28,5.8,-2.6,17.7,,10.0,
2014,10,29,8.2,-0.3,20.0,,9.6,
2014,10,30,10.6,2.0,19.6,,5.3,
2014,10,31,14.2,9.0,21.9,0.0,4.1,
