year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2017,9,1,22.1,19.9,24.5,0.7,9.1,
2017,9,2,21.6,17.5,24.4,,9.6,
2017,9,3,22.2,18.2,25.1,,11.6,
2017,9,4,22.9,19.5,25.8,,7.2,
2017,9,5,22.9,20.7,25.2,0.4,0.8,
2017,9,6,22.7,19.5,26.8,6.1,0.6,
2017,9,7,22.5,19.2,26.5,0.4,5.6,
2017,9,8,24.1,19.7,28.5,,11.0,
2017,9,9,25.2,20.3,31.1,,8.9,
2017,9,10,23.8,20.3,26.3,,3.8,
2017,9,11,21.6,19.7,23.8,57.0,0.0,
2017,9,12,23.6,20.7,27.3,,10.9,
2017,9,13,22.2,18.2,26.6,,11.6,
2017,9,14,22.3,17.7,25.0,,11.6,
2017,9,15,23.0,21.8,25.0,,8.5,
2017,9,16,22.7,21.9,24.3,2.1,0.9,
2017,9,17,20.6,19.3,22.1,21.7,0.0,
2017,9,18,22.8,17.8,28.4,,11.4,
2017,9,19,24.1,18.8,28.3,,8.2,
2017,9,20,22.5,17.8,25.4,,5.2,
2017,9,21,20.1,15.2,23.9,,8.0,
2017,9,22,21.1,16.6,24.5,,10.3,
2017,9,23,21.9,17.8,27.0,,6.7,
2017,9,24,22.8,17.4,28.5,,10.0,
2017,9,25,22.4,19.5,26.4,,10.2,
2017,9,26,22.1,18.6,25.4,,9.9,
2017,9,27,18.6,17.0,21.2,49.6,0.0,
2017,9,28,20.7,18.0,23.8,0.2,7.2,
2017,9,29,18.0,14.4,22.5,,10.6,
2017,9,30,19.7,12.7,27.0,,11.1,
