year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,4,1,10.9,-2.4,21.5,,11.2,
2011,4,2,12.0,6.7,19.4,0.0,4.0,
2011,4,3,5.3,0.7,8.9,6.5,0.0,
2011,4,4,6.5,0.1,16.6,,8.5,
2011,4,5,8.8,-2.8,20.8,,11.3,
2011,4,6,10.8,-1.4,21.6,0.5,9.1,
2011,4,7,12.0,9.4,14.1,10.0,0.0,
2011,4,8,14.0,6.7,20.7,2.5,7.7,
2011,4,9,9.9,0.6,19.5,,11.0,
2011,4,10,11.9,0.0,21.5,,10.0,
2011,4,11,10.8,6.3,15.9,1.5,10.7,
2011,4,12,9.8,-1.6,19.2,,11.7,
2011,4,13,11.6,0.0,21.3,,11.6,
2011,4,14,13.2,-1.1,23.3,,10.7,
2011,4,15,18.7,9.7,26.3,,9.6,
2011,4,16,14.0,6.1,24.2,,11.6,
2011,4,17,12.9,5.3,20.7,,11.8,
2011,4,18,7.9,4.9,10.9,0.3,0.8,
2011,4,19,9.7,4.2,16.3,0.0,8.1,
2011,4,20,11.4,0.3,20.4,,11.2,
2011,4,21,13.1,2.6,22.4,,7.2,
2011,4,22,12.2,10.1,15.2,13.5,0.3,
2011,4,23,11.0,7.8,15.5,0.0,9.5,
2011,4,24,10.9,6.7,16.3,0.0,10.8,
2011,4,25,13.3,6.7,19.8,0.5,9.1,
2011,4,26,11.6,9.0,13.6,46.0,0.0,
2011,4,27,13.5,7.1,19.0,0.0,6.5,
2011,4,28,10.4,4.2,15.8,,7.1,
2011,4,29,12.4,0.3,21.6,,8.5,
2011,4,30,19.7,13.1,27.5,8.5,2.2,
