year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2010,12,1,5.5,0.4,17.0,,5.4,
2010,12,2,4.6,1.0,9.6,0.1,0.0,
2010,12,3,4.5,-1.7,9.9,0.1,7.8,
2010,12,4,2.4,-5.1,14.0,,8.5,
2010,12,5,3.8,-4.0,16.0,,8.5,
2010,12,6,4.5,-0.8,14.3,,2.6,
2010,12,7,0.0,-5.3,8.5,,3.8,
2010,12,8,-0.1,-7.3,7.9,,2.5,
2010,12,9,1.7,-4.4,7.8,,8.5,
2010,12,10,3.1,-7.5,11.7,,7.8,
2010,12,11,3.8,-6.0,12.4,,8.2,
2010,12,12,-2.2,-9.7,3.8,,0.3,
2010,12,13,3.4,0.3,5.9,17.5,0.0,
2010,12,14,3.3,-2.4,9.6,,6.5,
2010,12,15,-3.0,-6.2,2.3,,7.8,
2010,12,16,-4.5,-9.2,3.1,,8.4,
2010,12,17,-0.7,-7.3,6.6,,0.9,
2010,12,18,0.2,-5.4,10.3,,8.3,
2010,12,19,4.9,-4.2,14.8,,6.6,
2010,12,20,4.2,-2.1,14.4,,7.9,
2010,12,21,2.2,-4.0,8.9,,1.7,
2010,12,22,3.1,-2.5,15.1,,8.1,
2010,12,23,1.8,-4.8,11.2,,6.8,
2010,12,24,-3.7,-7.4,0.1,,8.5,
2010,12,25,-4.4,-11.2,0.7,,8.5,
2010,12,26,-3.4,-10.1,3.6,,7.6,
2010,12,27,-1.2,-4.3,5.0,0.5,3.4,
2010,12,28,0.0,-4.7,5.2,3.0,1.6,
2010,12,29,-1.1,-5.6,4.8,,8.4,
2010,12,30,-0.9,-4.1,3.3,,5.6,
2010,12,31,-4.5,-9.4,0.0,,7.5,
