year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1975,7,1,23.2,20.1,27.3,,11.3,
1975,7,2,24.3,20.3,28.6,,10.8,
1975,7,3,24.5,21.7,27.8,0.0,6.0,
1975,7,4,24.0,20.3,28.9,,9.3,
1975,7,5,21.4,20.2,22.7,21.0,0.0,
1975,7,6,22.5,20.7,24.7,3.7,0.5,
1975,7,7,21.4,19.8,24.8,0.3,4.4,
1975,7,8,22.6,18.6,28.0,,9.9,
1975,7,9,23.5,18.2,28.5,,10.4,
1975,7,10,25.9,23.3,29.8,0.0,6.9,
1975,7,11,24.4,22.3,25.9,28.5,0.4,
1975,7,12,23.2,21.2,24.9,11.6,1.3,
1975,7,13,23.7,20.7,28.2,0.5,7.0,
1975,7,14,24.8,22.0,28.2,6.5,5.2,
1975,7,15,27.0,25.2,29.8,,9.9,
1975,7,16,26.0,23.1,27.9,52.8,4.1,
1975,7,17,27.0,24.2,31.2,0.7,8.7,
1975,7,18,27.0,24.3,31.2,0.0,8.8,
1975,7,19,26.8,23.9,29.3,,8.2,
1975,7,20,27.4,24.9,31.0,,9.5,
1975,7,21,27.7,24.9,30.8,,10.6,
1975,7,22,27.2,24.0,31.3,,9.5,
1975,7,23,27.9,26.1,31.2,,9.8,
1975,7,24,27.9,25.3,31.6,0.3,10.1,
1975,7,25,28.3,25.7,32.0,0.0,10.1,
1975,7,26,27.2,24.3,30.9,14.2,6.9,
1975,7,27,27.1,24.8,30.4,8.4,5.3,
1975,7,28,26.6,25.7,29.6,1.6,5.9,
1975,7,29,27.7,25.0,31.1,,11.0,
1975,7,30,28.4,24.6,32.8,3.8,11.6,
1975,7,31,26.8,23.6,30.8,39.8,3.4,
