year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2020,10,1,18.3,14.3,23.5,,8.1,
2020,10,2,19.2,13.7,23.2,0.9,7.3,
2020,10,3,19.1,16.8,22.3,18.4,2.1,
2020,10,4,17.6,12.9,22.1,0.0,2.3,
2020,10,5,13.2,6.9,19.1,,10.3,
2020,10,6,12.9,6.4,19.6,,10.9,
2020,10,7,14.6,8.9,20.6,,8.2,
2020,10,8,15.5,10.1,21.9,,10.8,
2020,10,9,16.2,9.3,22.5,,10.7,
2020,10,10,15.8,9.9,21.5,,9.0,
2020,10,11,15.1,9.2,19.3,0.0,3.8,
2020,10,12,15.5,9.5,22.7,0.0,6.8,
2020,10,13,12.1,6.3,18.2,,5.2,
2020,10,14,12.4,6.3,19.4,0.0,4.4,
2020,10,15,10.3,4.0,17.4,,5.4,
2020,10,16,10.3,4.8,16.0,,0.0,
2020,10,17,11.6,6.0,19.0,0.2,8.8,
2020,10,18,11.7,2.9,20.1,,10.3,
2020,10,19,12.4,5.2,21.1,,9.3,
2020,10,20,11.8,5.4,21.7,,6.4,
2020,10,21,13.1,8.4,17.6,0.0,0.0,
2020,10,22,13.2,9.0,19.4,0.0,7.2,
2020,10,23,10.3,5.5,14.1,,9.6,
2020,10,24,8.9,2.4,14.2,,10.3,
2020,10,25,11.2,4.6,19.1,,9.6,
2020,10,26,11.1,4.0,19.3,,9.4,
2020,10,27,12.4,5.0,20.3,,9.0,
2020,10,28,13.6,8.5,19.0,,8.8,
2020,10,29,9.1,2.0,17.8,,9.4,
2020,10,30,9.5,1.3,18.2,,9.9,
2020,10,31,11.8,2.5,19.0,,7.8,
