year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1973,12,1,-2.6,-9.0,5.6,,8.2,
1973,12,2,2.6,-3.2,9.3,0.3,4.5,
1973,12,3,-3.9,-5.9,4.3,,7.9,
1973,12,4,-6.8,-9.1,-3.2,,8.8,
1973,12,5,-7.6,-15.2,-0.6,0.8,2.3,1.4
1973,12,6,-6.4,-8.2,-0.8,,8.1,
1973,12,7,-8.1,-12.1,-2.7,,8.5,
1973,12,8,-7.8,-14.1,1.9,,7.5,
1973,12,9,-5.3,-18.8,2.6,0.1,7.7,0.3
1973,12,10,-4.5,-9.2,3.8,,7.6,
1973,12,11,-6.3,-12.3,4.4,,7.6,
1973,12,12,-3.3,-8.9,4.4,0.1,5.1,0.2
1973,12,13,-5.5,-9.9,4.4,,6.8,
1973,12,14,-3.4,-9.1,4.5,,3.7,
1973,12,15,-0.7,-5.0,6.9,0.4,4.5,0.8
1973,12,16,-4.8,-8.2,2.0,,8.2,
1973,12,17,-7.9,-14.0,1.4,,7.9,
1973,12,18,-5.1,-11.4,2.5,0.5,4.6,1.5
1973,12,19,-5.2,-12.0,2.4,,6.1,
1973,12,20,-2.3,-9.2,5.8,,5.8,
1973,12,21,-2.3,-8.8,5.4,0.9,2.6,1.8
1973,12,22,-7.2,-12.1,-3.5,2.3,6.5,3.7
1973,12,23,-8.8,-14.0,-3.2,,6.8,
1973,12,24,-11.4,-20.1,-7.8,,8.2,
1973,12,25,-12.5,-20.1,-5.0,,7.8,
1973,12,26,-10.2,-17.3,0.8,,8.0,
1973,12,27,-3.7,-10.0,1.6,0.2,1.2,0.5
1973,12,28,-3.7,-11.5,0.8,,4.9,
1973,12,29,-9.6,-16.2,-2.6,0.7,5.1,1.5
1973,12,30,-7.3,-13.3,-1.0,0.0,8.0,0.2
1973,12,31,-4.7,-11.5,2.3,0.5,6.0,1.5
