stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
138,포항,1987-01-01,2.0,-2.2,0800,7.4,1330,1.4,2310,1.8,2300,3.17,2.0,12.3,270,0145,6.0,270,0150,3.2,2768,250,-6.8,39,1130,52.8,3.9,1028.5,1031.5,0930,1026.5,0010,1029.3,9.8,5.1,1200,1.8,8.9,,,,,,5.5,4.9,1.7,-5.5,3.0,3.3,3.9,5.8,,,,,,,1.1,11.3,{비}2050-{비}{강도0}2100-{비}{강도0}2400- {박무}2250-{박무}{강도0}2400-,
138,포항,1987-01-02,7.0,3.9,0000,7.9,1000,1.0,1340,4.6,1430,19.17,28.4,8.4,90,0450,5.3,90,0310,2.3,1951,360,5.3,82,0952,88.5,8.9,1017.0,1028.3,0000,1010.8,1812,1017.8,9.8,0.0,1200,0.11,0.23,,,,,,10.0,5.6,5.1,1.3,5.8,5.3,5.4,6.3,,,,,,,0.2,19.1,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도1}1500-{비}{강도0}1800-1910.-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-2320.,
138,포항,1987-01-03,4.5,0.6,2400,8.3,1412,,,,,,,15.5,250,2155,7.3,250,2200,2.9,2477,250,-4.3,34,1530,54.5,4.6,1018.0,1022.7,2400,1012.9,0105,1018.8,9.8,3.8,1200,1.88,8.8,,,,,,2.5,1.0,4.2,-4.5,4.8,5.1,5.6,6.8,,,,,,,3.3,,,
138,포항,1987-01-04,1.1,-3.1,0810,7.2,1454,,,,,,,12.1,270,0528,6.5,270,0500,2.4,2073,250,-11.0,29,1430,41.5,2.7,1024.2,1026.7,1016,1021.9,0030,1025.0,9.8,8.6,1100,1.89,11.01,,,,,,0.8,0.4,1.2,-5.7,2.1,3.0,4.0,6.0,,,,,,,1.2,,,
138,포항,1987-01-05,3.8,0.9,0030,8.8,1440,,,,,,,12.8,270,2305,7.7,270,2308,2.0,1767,250,-5.5,43,1700,50.8,4.1,1020.8,1024.2,0000,1017.8,1425,1021.5,9.8,2.7,1200,1.36,6.61,,,,,,7.0,4.1,2.5,-1.6,3.3,3.3,3.7,5.5,,,,,,,2.0,,,
138,포항,1987-01-06,3.6,-0.9,0432,9.8,1415,,,,,,,13.3,270,0152,5.7,290,0020,2.1,1838,250,-6.4,39,1415,48.3,3.8,1026.1,1029.4,2110,1022.3,0043,1026.9,9.8,7.0,1100,1.76,9.81,,,,,,0.0,0.0,1.8,-6.8,2.7,2.9,3.7,5.5,,,,,,,2.1,,,
138,포항,1987-01-07,4.2,-1.1,0827,9.9,1310,0.0,,0.0,,0.33,0.0,22.5,270,2245,8.3,270,2300,2.4,2086,250,-2.4,46,1300,63.5,5.2,1020.5,1029.1,0000,1013.8,1815,1021.3,9.8,4.1,1100,1.47,6.73,,,,,,4.3,2.0,1.9,-5.3,2.8,3.1,3.6,5.4,,,,,,,1.3,0.0,{햇무리}1248-1255. {비}1925-1945.,
138,포항,1987-01-08,4.6,0.8,0745,8.9,1610,,,,,,,12.2,270,0010,6.3,270,0010,2.7,2336,250,-5.8,33,1600,47.5,4.0,1018.9,1022.4,1000,1016.0,0000,1019.7,9.8,8.7,1100,1.83,10.7,,,,,,1.5,0.8,2.6,-5.2,3.3,3.6,4.0,5.6,,,,,,,1.9,,,
138,포항,1987-01-09,5.2,-0.2,2400,10.5,1320,,,,,,,15.0,270,1415,7.0,270,1420,2.7,2296,270,-5.6,32,2110,47.0,4.2,1019.7,1023.8,2345,1017.4,0100,1020.6,9.9,7.7,1200,1.74,9.68,,,,,,2.0,1.3,2.8,-4.5,3.5,3.7,4.1,5.5,,,,,,,2.6,,,
138,포항,1987-01-10,-0.6,-4.2,0800,4.5,1505,,,,,,,11.1,250,0126,5.3,250,0140,3.1,2654,250,-13.5,31,1135,35.5,2.2,1028.1,1032.4,2300,1023.7,0000,1028.9,9.9,8.1,1200,1.87,11.04,,,,,,0.0,0.0,0.8,-6.9,1.9,2.4,3.6,5.3,,,,,,,2.8,,,
138,포항,1987-01-11,0.2,-4.9,0630,7.0,1505,,,,,,,7.2,250,0340,4.3,250,0350,2.1,1820,250,-11.1,38,1120,43.0,2.8,1028.0,1032.3,0925,1022.3,2400,1028.8,9.9,8.2,1100,1.88,10.23,,,,,,2.3,1.1,1.0,-7.6,1.3,1.5,2.5,4.6,,,,,,,1.5,0.0,,
138,포항,1987-01-12,0.4,-6.1,2400,3.1,1430,,,,,2.68,1.6,15.5,270,2255,7.3,270,2140,2.9,2490,270,-9.5,45,0100,47.3,3.1,1013.8,1022.3,0000,1010.5,1500,1014.5,9.9,3.8,1400,1.31,5.78,3.5,1120,3.5,1120,3.5,5.0,3.0,1.6,-8.3,1.9,2.0,2.6,4.5,,,,,,,2.4,1.6,{눈}0312-0340. {눈}0907-1120.,
138,포항,1987-01-13,-5.0,-8.4,2400,0.0,1320,,,,,,,20.0,270,0457,8.0,270,0330,4.3,3752,270,-15.6,38,1300,43.8,1.8,1015.1,1021.6,2400,1010.8,0320,1015.9,9.9,7.4,1200,1.91,10.82,,,,,,1.3,0.6,-2.5,-10.5,0.0,1.0,1.7,4.2,,,,,,,2.1,,,
138,포항,1987-01-14,-3.2,-9.8,0350,3.9,1520,,,,,,,15.4,250,0758,7.3,250,0800,4.3,3740,250,-12.6,34,1600,47.3,2.4,1021.5,1024.2,2400,1019.6,1525,1022.3,9.9,8.4,1100,2.01,12.0,,,,,,0.0,0.0,-1.9,-12.0,-0.8,0.3,1.3,3.7,,,,,,,2.5,,,
138,포항,1987-01-15,3.0,-0.9,0750,8.7,1607,,,,,,,10.3,250,1526,6.0,250,1530,2.5,2184,250,-4.4,41,1620,59.0,4.4,1025.2,1027.8,2215,1024.2,0000,1026.0,10.0,8.0,1200,1.95,11.49,,,,,,0.0,0.0,1.2,-6.3,0.6,0.5,1.1,3.4,,,,,,,2.3,,,
138,포항,1987-01-16,5.3,0.2,0050,9.8,1545,0.4,1700,1.4,1700,5.73,2.4,16.6,250,1915,9.7,250,2020,2.5,2152,250,1.6,63,1300,76.8,7.1,1018.2,1026.6,0000,1012.3,2025,1019.0,10.0,0.4,0900,0.7,3.32,,,,,,4.8,2.6,1.9,-5.5,1.8,1.3,1.5,3.3,,,,,,,1.3,2.4,{비}1256-{비}{강도0}1500-{비}{강도0}1800-1840. {박무}1645-{박무}{강도0}1800-1850.,
138,포항,1987-01-17,3.3,-2.1,2400,6.7,0000,,,,,,,21.3,250,0907,7.8,250,1000,4.3,3698,250,-8.3,32,1433,41.8,3.4,1017.5,1023.8,2400,1013.5,0033,1018.3,10.0,8.6,1200,2.03,12.11,,,,,,0.0,0.0,1.8,-6.1,2.6,2.4,2.6,4.0,,,,,,,2.6,,,
138,포항,1987-01-18,-0.4,-4.2,0745,3.5,1225,,,,,,,11.3,270,1242,6.3,230,0140,2.8,2396,250,-10.7,39,1530,49.3,2.7,1023.6,1026.6,0900,1022.8,1610,1024.5,10.0,3.5,1100,1.82,9.07,,,,,,5.3,3.8,-1.3,-8.7,0.2,1.2,1.8,3.9,,,,,,,1.8,,{달무리}2347-,
